City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,qingzhou,36.6967,118.4797,26.26,18,63,4.01,CN,1715421175
216,beloyarskiy,63.7119,66.6722,4.44,80,83,3.13,RU,1715421176
217,mount isa,-20.7333,139.5,23.87,57,37,4.63,AU,1715421177
218,al khawr,25.7667,51.3167,36.6,12,39,8.63,QA,1715421177
219,livny,52.4253,37.6069,11.31,63,76,6.44,RU,1715421178
220,bikenibeu village,1.3673,173.1241,28.98,79,75,3.09,KI,1715421179
221,pisco,-13.7,-76.2167,18.03,88,0,4.63,PE,1715421180
222,heunghae,36.1125,129.3522,20.04,71,100,5.63,KR,1715421181
223,gemena,3.25,19.7667,36.12,35,45,1.85,CD,1715421182
224,harwich,51.9419,1.2844,18.49,84,100,5.04,GB,1715421183
225,aldinga beach,-35.2793,138.4604,16.35,87,34,3.04,AU,1715421103
226,labrador city,52.9463,-66.9114,3.99,53,0,2.57,CA,1715421184
227,notodden,59.5594,9.2585,18.33,44,75,1.73,NO,1715421185
228,deir ez-zor,35.3359,40.1408,33.0,14,100,7.39,SY,1715421187
229,boa vista,2.8197,-60.6733,23.99,94,75,1.54,BR,1715421188
230,aral,40.5156,81.2636,32.09,6,39,5.37,CN,1715421189
231,happy valley-goose bay,53.3168,-60.3315,-2.83,93,0,1.54,CA,1715421189
232,uliastay,47.7417,96.8444,21.61,12,34,3.0,MN,1715421190
233,kapa'a,22.0752,-159.319,22.99,84,75,3.09,US,1715421191
234,fort st. john,56.2499,-120.8529,8.94,31,100,4.63,CA,1715421192
235,san onofre,9.7359,-75.5263,24.48,96,91,4.71,CO,1715421193
236,manokwari,-0.8667,134.0833,26.58,86,98,3.77,ID,1715421193
237,cromer,52.9312,1.2989,19.35,87,99,4.64,GB,1715421194
238,nyuzen,36.9333,137.5,23.96,62,66,3.42,JP,1715421195
239,jalalabad,34.4265,70.4515,29.1,46,44,4.21,AF,1715421196
240,yarmouth,41.7057,-70.2286,8.08,85,75,7.15,US,1715421197
241,udachny,66.4167,112.4,-3.64,62,100,2.64,RU,1715421198
242,huarmey,-10.0681,-78.1522,18.58,92,87,4.15,PE,1715421198
243,greymouth,-42.4667,171.2,6.77,90,34,2.4,NZ,1715420960
244,riberalta,-10.9833,-66.1,22.73,75,64,1.13,BO,1715421200
245,noosa heads,-26.3833,153.15,19.5,77,87,0.46,AU,1715421202
246,tselinnoye,53.0833,85.6667,14.62,83,100,1.53,RU,1715421203
247,singarayakonda,15.25,80.0333,33.67,56,5,6.47,IN,1715421203
248,plastun,44.7561,136.2939,5.18,97,100,1.88,RU,1715421204
249,luderitz,-26.6481,15.1594,22.53,43,0,8.46,NA,1715421206
250,la'ie,21.6477,-157.9253,23.98,87,7,1.79,US,1715421207
251,mili,6.0815,171.735,26.07,91,100,7.46,MH,1715421208
252,new norfolk,-42.7826,147.0587,10.4,95,50,0.08,AU,1715421208
253,tsumeb,-19.2333,17.7167,28.46,14,0,3.92,NA,1715421209
254,kasongo-lunda,-6.4667,16.8167,33.6,40,90,1.08,CD,1715421210
255,urengoy,65.9667,78.3667,0.61,100,95,4.92,RU,1715421211
256,shiguai,40.7058,110.2856,16.33,14,75,8.52,CN,1715421212
257,ullal,12.8,74.85,34.53,59,20,6.17,IN,1715421213
258,takoradi,4.8845,-1.7554,30.49,69,33,3.46,GH,1715421214
259,podporozh'ye,60.9112,34.1706,3.08,80,100,4.28,RU,1715421214
260,villa carlos paz,-31.4241,-64.4978,5.77,73,99,1.19,AR,1715421215
261,san jose del cabo,23.0589,-109.6977,25.27,40,29,0.48,MX,1715421216
262,cuatro cienegas de carranza,26.9833,-102.0833,22.49,92,66,2.96,MX,1715421217
263,vernon,50.2581,-119.2691,13.74,56,48,1.54,CA,1715421218
264,pilona,43.35,-5.3667,19.69,62,89,2.31,ES,1715421218
265,zaragoza,41.6561,-0.8773,27.23,32,0,4.12,ES,1715421219
266,vila franca do campo,37.7167,-25.4333,18.27,99,55,2.48,PT,1715421220
267,queenstown,-31.8976,26.8753,18.78,36,6,1.14,ZA,1715421221
268,churapcha,62.0025,132.4325,4.94,38,78,2.11,RU,1715421222
269,kuqa,41.7278,82.9364,30.68,9,0,1.7,CN,1715421223
